url,version,category,resolveddate,spl,description
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-28,"DBX-4356, DBX-3868",NPE when running dbxquery with shortname=false on driver not supporting prepared statement metadata
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-26,"DBX-4218, DBX-4027",DBX settings.py conflicts with Django settings.py
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-26,"DBX-4351, DBX-4032",Driver unrelated jars are copied to drivers folder during migration
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-26,"DBX-4353, DBX-3962",Application dropdown during input/output/lookup creation truncates to 30 apps
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-26,"DBX-4352, DBX-3990",Multiple issues if '/' is used in input/output/lookup name
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-26,DBX-4347,The help link of sending usage data page is broken
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-21,DBX-4336,Incorrect enabled/disabled filter label
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-21,DBX-4337,Help link pages are opened in current window
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-20,DBX-4315,Global sharing permission isn't migrated from v2 to v3
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-19,DBX-4314,NPE(Null pointer exception) when a event match multiple rows and some row values are null
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-18,DBX-3883,Output can be deleted or enabled/disabled even if it is used by a modular alert
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-18,DBX-4298,Informix connection validation is inconsistent if informix server is empty
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-18,"DBX-4312, DBX-4309",nvarchar/ntext columns are not displayed when JTDS driver is used
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-16,DBX-4301,Modal is not disposed if an error occured
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-16,DBX-4304,Non ASCII characters are not supported in stanza attributes
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-15,"DBX-4290, DBX-4254",Fetchsize setting in dbxquery command option is ignored
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-15,DBX-3020,"In DB table, if some column name starts with space character, lookup would fail on it."
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-13,DBX-4285,Migration will fail if connection's sharing permission is not set to global
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-12,DBX-4022,Use Windows Authentication Domain setting is ignored when creating a connection
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-12,DBX-3145,dbxlookup preview is incorrect if multiple values match the event fields
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-11,DBX-4090,Private saved search can be selected to create an output
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-11,DBX-4261,XMLStreamException is output to splunkd.log on task server's start
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-11,"DBX-4060, DBX-4054",Db connect not honoring query_timeout setting during input preview
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-08,DBX-4266,Task server scheme is not correclty sent to Splunkd
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-08,DBX-4251,Object cannot be cloned when using db_connect_admin role
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-06-07,DBX-4259,Requests to task server are logged in splunkd.log
